data_type	code	name	short_name	extra1	extra2	create_by	create_time
MATERIAL	1011-R02-1507-G08-0300	1011-R02-1507-G08-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1510-Y01-0400	1011-R02-1510-Y01-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1512-G10-0500H	1011-R02-1512-G10-0500H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1535-C05-1000H	1011-R02-1535-C05-1000H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1904-G01-0200	1011-R02-1904-G01-0200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1904-G06-0200	1011-R02-1904-G06-0200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-1905-B05-0300	1011-R02-1905-B05-0300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2003-G01-0200H	1011-R02-2003-G01-0200H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2003-G01-0200H聽	1011-R02-2003-G01-0200H聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0350-H	1011-R02-2010-B02-0350-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0350-HCD1-20	1011-R02-2010-B02-0350-HCD1-20				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0500-H	1011-R02-2010-B02-0500-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B02-0500-JZM1/JZM2	1011-R02-2010-B02-0500-JZM1/JZM2				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B05-0400聽	1011-R02-2010-B05-0400聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-B05-0500	1011-R02-2010-B05-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-BK01-0450聽	1011-R02-2010-BK01-0450聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350聽	1011-R02-2010-G01-0350聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350聽聽	1011-R02-2010-G01-0350聽聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350 H	1011-R02-2010-G01-0350 H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350-FF	1011-R02-2010-G01-0350-FF				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350-H	1011-R02-2010-G01-0350-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350-HCD1-20	1011-R02-2010-G01-0350-HCD1-20				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350-SH1-SH15	1011-R02-2010-G01-0350-SH1-SH15				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350-SYS	1011-R02-2010-G01-0350-SYS				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350-WH	1011-R02-2010-G01-0350-WH				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350H聽	1011-R02-2010-G01-0350H聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0350H聽聽	1011-R02-2010-G01-0350H聽聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0400	1011-R02-2010-G01-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0400聽	1011-R02-2010-G01-0400聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G01-0500	1011-R02-2010-G01-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G03-0400	1011-R02-2010-G03-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G03-0500A	1011-R02-2010-G03-0500A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G06-0500聽	1011-R02-2010-G06-0500聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G07-0400H	1011-R02-2010-G07-0400H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-G13-0300-KXYS	1011-R02-2010-G13-0300-KXYS				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2010-Y01-0500-H	1011-R02-2010-Y01-0500-H				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2013-G03-0500	1011-R02-2013-G03-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2013-G03-0500A	1011-R02-2013-G03-0500A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2030-C01-1200-H6	1011-R02-2030-C01-1200-H6				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2031-C01-0800	1011-R02-2031-C01-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2035-C01H-0800	1011-R02-2035-C01H-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2307-B01-0400聽	1011-R02-2307-B01-0400聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2307-B01-0400鐟炴郸鏂欏彿锛圧D-XTB-G0000095-0000	1011-R02-2307-B01-0400鐟炴郸鏂欏彿锛圧D-XTB-G0000095-0000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2307-G01-0400	1011-R02-2307-G01-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2307-G03-0350聽	1011-R02-2307-G03-0350聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2307-G03-0350A	1011-R02-2307-G03-0350A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2510- C02-0400	1011-R02-2510- C02-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2510-C02Q-0700	1011-R02-2510-C02Q-0700				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2510-G01-0500	1011-R02-2510-G01-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2520-G01-0450聽	1011-R02-2520-G01-0450聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2520-G03-0500	1011-R02-2520-G03-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-B01-0500	1011-R02-2525-B01-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-B01-0600A	1011-R02-2525-B01-0600A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-B03-0500	1011-R02-2525-B03-0500				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-B05-0500A	1011-R02-2525-B05-0500A				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-B05-0600	1011-R02-2525-B05-0600				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-0900- DX	1011-R02-2525-C01-0900- DX				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-0900-PZX	1011-R02-2525-C01-0900-PZX				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011锛峈02锛?525锛岰01锛?200聽	1011锛峈02锛?525锛岰01锛?200聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-1200--X	1011-R02-2525-C01-1200--X				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-1200--XRY	1011-R02-2525-C01-1200--XRY				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-1200-CYZY	1011-R02-2525-C01-1200-CYZY				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-1200-F1闂數	1011-R02-2525-C01-1200-F1闂數				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C01-1200-闂數	1011-R02-2525-C01-1200-闂數				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C02-0700	1011-R02-2525-C02-0700				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C02-1200聽	1011-R02-2525-C02-1200聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C05-1200	1011-R02-2525-C05-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-C1-1200	1011-R02-2525-C1-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-2525-W01-0800	1011-R02-2525-W01-0800				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-3609-G01-0200聽	1011-R02-3609-G01-0200聽				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1011-R02-3624-T01-1200	1011-R02-3624-T01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1012-R015-5060-B06-1300	1012-R015-5060-B06-1300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1012-R02-5030-B07-0900	1012-R02-5030-B07-0900				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1012-R02-7507-G01-0200	1012-R02-7507-G01-0200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1012-TE25-5060-B08-1300	1012-TE25-5060-B08-1300				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1012-TE75-5045-C05-1200	1012-TE75-5045-C05-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1012C-R00-5007-B01-0006	1012C-R00-5007-B01-0006				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1013-T10-35-T01-1000-W12	1013-T10-35-T01-1000-W12				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1013锛峊E25锛?515锛岯05锛?200	1013锛峊E25锛?515锛岯05锛?200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1013-TE25-15T-55-B01-1200	1013-TE25-15T-55-B01-1200				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1013-TE25-35-T01-1000	1013-TE25-35-T01-1000				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1016-R02-2010-B01-0300
鐟炴郸鏂欏彿锛圡D-XTB-G000001-2156锛?1016-R02-2010-B01-0300
鐟炴郸鏂欏彿锛圡D-XTB-G000001-2156锛?			system-auto-sync	2026-03-30 17:53:33
MATERIAL	1016-R02-2010-B05-0400	1016-R02-2010-B05-0400				system-auto-sync	2026-03-30 17:53:33
MATERIAL	1016-R02-2525-B03-0500	1016-R02-2525-B03-0500				system-auto-sync	2026-03-30 17:53:33
